Aksi,pH_St,EC_St,pH_St+1,EC_St+1,Delta_pH,Delta_EC
Normal_15L,6,6.1,800.0,6.1,1200.0,0.0,400.0
Tes 20L,2,6.98,924.0,7.0,924.0,0.02,0.0
20L,6,7.0,1484.0,7.0,1048.0,0.0,-436.0
Normal 15L,2,4.72,0.0,5.35,0.0,0.63,0.0
Normal 15L,4,4.75,0.0,4.9,0.0,0.15,0.0
Normal 15L,8,5.36,0.0,5.27,0.0,-0.09,0.0
Normal 15L,6,5.22,0.0,5.18,0.0,-0.04,0.0
Normal 15L,6,5.26,0.0,4.9,0.0,-0.36,0.0
Normal 15L,6,5.18,0.0,5.19,0.0,0.01,0.0
Normal 15L,6,5.0,0.0,5.07,0.0,0.07,0.0
Normal 15L,6,4.56,0.0,5.25,0.0,0.69,0.0
Normal 15L,6,4.73,0.0,5.07,0.0,0.34,0.0
Normal 15L,6,4.58,0.0,4.58,0.0,0.0,0.0
Normal 15L,6,4.61,0.0,4.69,0.0,0.08,0.0
Normal 15L,6,4.6,0.0,4.59,0.0,-0.01,0.0
Normal 15L,6,4.79,0.0,4.6,0.0,-0.19,0.0
Normal 15L,6,5.07,0.0,5.19,0.0,0.12,0.0
Normal 15L,5,5.12,0.0,5.19,0.0,0.07,0.0
Normal 15L,2,5.03,0.0,5.68,0.0,0.65,0.0
Normal 15L,4,5.54,0.0,4.57,0.0,-0.97,0.0
Normal 15L,8,5.9,0.0,5.76,0.0,-0.14,0.0
Normal 15L,5,5.54,33.0,5.38,78.0,-0.16,45.0
Normal 15L,6,4.96,72.0,5.34,248.0,0.38,176.0
Normal 15L,6,4.58,2418.0,4.53,2388.0,-0.05,-30.0,2026-03-28 21:10:03
Normal 15L,6,4.76,2353.0,4.49,2424.0,-0.27,71.0,2026-03-28 21:15:17
Normal 15L,6,4.32,2360.0,4.46,2392.0,0.14,32.0,2026-03-28 21:17:17
Normal 15L,6,4.32,2373.0,4.6,2309.0,0.28,-64.0,2026-03-28 21:17:53
Normal 15L,6,4.8,2347.0,4.34,2376.0,-0.46,29.0,2026-03-28 21:20:22
Normal 15L,6,4.33,2299.0,4.83,2375.0,0.5,76.0,2026-03-28 22:13:19
Normal 15L,6,4.61,2217.0,4.65,2331.0,0.04,114.0,2026-03-28 22:14:41
Normal 15L,6,4.31,2394.0,4.28,2328.0,-0.03,-66.0,2026-03-28 22:17:32
Normal 15L,6,4.29,2298.0,4.59,2260.0,0.3,-38.0,2026-03-28 22:33:05
Normal 15L,6,4.33,2337.5,4.54,2386.0,0.21,48.5,2026-03-28 22:38:14
Normal 15L,6,4.62,0.0,4.77,0.0,0.15,0.0,2026-03-29 19:51:31
Normal 15L,6,4.7,0.0,4.69,0.0,-0.01,0.0,2026-03-29 20:00:26
Normal 15L,6,4.67,0.0,4.54,2773492713914413.0,-0.13,2773492713914413.0,2026-03-29 20:10:53
Normal 15L,6,6.33,0.0,6.06,71.67,-0.27,71.67,2026-04-01 21:45:47
Normal 15L,6,6.54,92.92,6.12,208.33,-0.42,115.41,2026-04-01 21:50:59
Normal 15L,6,6.38,217.92,6.42,302.75,0.04,84.83,2026-04-01 21:56:13
Normal 15L,6,6.14,320.67,5.85,418.0,-0.29,97.33,2026-04-01 22:01:26
Normal 15L,6,6.03,404.0,5.86,514.83,-0.17,110.83,2026-04-01 22:06:45
Normal 15L,6,6.26,519.58,5.81,640.17,-0.45,120.59,2026-04-01 22:12:00
Normal 15L,6,6.02,637.58,5.95,764.17,-0.07,126.59,2026-04-01 22:17:13
Normal 15L,6,5.74,751.92,5.82,869.33,0.08,117.41,2026-04-01 22:22:24
Normal 15L,6,5.98,874.0,6.26,978.0,0.28,104.0,2026-04-01 22:27:38
Normal 15L,6,6.02,955.42,5.75,1061.25,-0.27,105.83,2026-04-01 22:32:52
Normal 15L,6,5.92,1052.42,5.67,1155.0,-0.25,102.58,2026-04-01 22:38:08
Normal 15L,1,6.43,1145.83,5.95,1164.08,-0.48,18.25,2026-04-01 22:44:45
Normal 15L,0,6.1,1153.17,5.82,1160.83,-0.28,7.66,2026-04-01 22:51:33
Normal 15L,0,6.24,1159.67,6.1,1159.0,-0.14,-0.67,2026-04-01 22:58:07
