ID_State;0_IDLE;1_pH_Up_S;2_pH_Up_L;3_pH_Down_S;4_pH_Down_L;5_Nutrisi_S;6_Nutrisi_L;7_Air_Baku_S;8_Air_Baku_L;Best_Action_Index;Best_Action_Name
State_1;37,95296858605282;69,05964464632831;307,82900232513754;81,44960801051431;83,01704292865618;54,668340122311854;75,26381270925967;30,098563080635437;47,921567697006466;2;2_pH_Up_L
State_2;187,16964163520532;201,97285552279206;467,4050946691898;166,08498060827932;140,93197169295684;128,9131136250352;40,291530794637886;129,67460785738828;184,91029013701123;2;2_pH_Up_L
State_3;175,05795872774632;140,9297819985314;359,40030046575936;114,54131596581097;112,58510164757415;76,95843743763864;-25,471983768419697;144,60606374108397;156,34831282342998;2;2_pH_Up_L
State_4;14,353958172662574;12,842767547440856;105,72752266641044;0,7958824418335738;3,0265211426073266;-34,386100624344714;-64,95302813377025;131,7247635984173;11,830862607675115;7;7_Air_Baku_S
State_5;-63,86085292168336;-61,168246341135365;-57,403019702770465;-61,31450457652151;-64,81269375819356;-65,28111874361572;-62,68288633205781;-4,407076900218338;-56,620577290428756;7;7_Air_Baku_S
State_6;414,80084668510443;516,8788554462302;739,6851282201942;440,0274031846893;328,481827958313;510,6917094872516;465,804229356307;406,6143581919025;415,8878893731174;2;2_pH_Up_L
State_7;683,15094057134;697,1613597330509;920,0459513269337;565,1232281612281;514,7575898900403;582,0935725533246;356,21874390272967;579,2871599506509;675,7308972307768;2;2_pH_Up_L
State_8;685,3453766545603;624,7640271714755;813,7034013278331;527,438689102024;466,96503202115815;486,285761279083;137,39218125692938;624,3255337644969;647,0139254419742;2;2_pH_Up_L
State_9;380,15150400916724;262,43429637317035;333,29607999643036;258,65266655465035;218,46547914049088;156,1841020958904;-9,063220303581872;474,1955875855976;369,7424146755449;7;7_Air_Baku_S
State_10;-50,73871679525756;-43,44846713674097;-64,74096557327803;-46,25378837084709;-56,45690065752591;-48,26120663750693;-50,60478610088932;15,313001264585907;-43,51747986706112;7;7_Air_Baku_S
State_11;684,7909218510783;732,869481922174;658,9072292817136;671,540309794907;665,3232195297563;755,1182229055728;941,1416403605486;718,0966433775627;694,9503195059976;6;6_Nutrisi_L
State_12;945,5827768692678;1036,5281074997158;975,6281213698862;949,2257894192053;854,7477622457708;1087,9176874426405;649,5137227901055;910,9766111209987;977,3017474396703;5;5_Nutrisi_S
State_13;1250,5167466236676;931,6385708550948;909,351526500511;908,6563963856229;796,7552896894937;838,0379798638954;280,8612363776014;960,5630228821863;1131,089621426343;0;0_IDLE
State_14;668,076127721643;403,11590521333875;411,01536856516606;453,32604556817665;392,53907400924635;322,7641218565776;45,13170523652961;748,8560006840398;631,1700251619359;7;7_Air_Baku_S
State_15;-42,71950169398647;-39,29801997069727;-41,884794044239165;-39,54702845704147;-46,39198907196345;-40,082568592778514;-45,64529046889305;56,788855636677184;-32,894828978265046;7;7_Air_Baku_S
State_16;416,8955281852429;444,90465821598895;369,5130004612551;471,53875615678385;715,0866239929991;483,64267283519047;446,74202977918446;418,76808831518554;452,63923364180863;4;4_pH_Down_L
State_17;604,2121535770149;517,4168258855512;475,1254082217547;569,6163604505147;878,3833207623121;507,445199909226;329,24063626981814;517,1547913029668;562,4093983374212;4;4_pH_Down_L
State_18;629,4834841965162;446,3044240361751;422,57519783769317;625,8567736835906;790,6937154042745;446,69521997631455;145,89013466772138;541,6081077383169;579,7009601156079;4;4_pH_Down_L
State_19;327,6352008346209;167,30217250062114;174,27552313519865;290,42360151455233;349,6165126779587;148,3286255758723;8,325146690938771;444,96734749722776;315,25586305199073;7;7_Air_Baku_S
State_20;-38,512437729249704;-36,06577075990116;-44,03123434082667;-31,047528753651623;-51,497249407424476;-39,61453687600351;-38,15520790872704;33,994455185756784;-31,939676664146873;7;7_Air_Baku_S
State_21;57,36089292075509;89,12146459793591;81,5629473739963;98,42122169054252;386,4770338603529;78,80747339214238;102,06149911402908;71,08290389134605;64,35071036117377;4;4_pH_Down_L
State_22;224,51466649184997;174,3753402445508;185,67253010226023;205,93600547942165;471,2016870983602;163,44395603906187;115,79191239377016;168,67831481911767;198,32770603659085;4;4_pH_Down_L
State_23;179,81806995001617;103,348748283878;121,64328305784267;185,92516552479472;357,4282972373637;106,92916755934439;-0,41026475806363366;140,2720776873143;156,85224015925576;4;4_pH_Down_L
State_24;15,7694347680959;2,921622258425441;-11,710325538503302;44,26974020508869;56,08076919781393;-19,744545506982053;-49,96859092932188;140,79643228989073;25,432151230069135;7;7_Air_Baku_S
State_25;-56,168369757627964;-58,621975924412624;-58,935988354104666;-51,210352975589934;-51,50227837732176;-51,408258969232726;-51,243651524191606;32,78918209495287;-57,42525408582805;7;7_Air_Baku_S
