Sesi,Aksi,pH_St,EC_St,pH_St+1,EC_St+1,Delta_pH,Delta_EC,Reward,Max_Q,Timestamp
AUTO_v6_final,4,6.461666666666667,0.0,6.100833333333334,0.0,-0.36,0.0,-20.0,715.0866239929991,2026-05-03 23:05:05
AUTO_v6_final,6,6.100833333333334,0.0,6.135000000000001,0.0,0.03,0.0,-20.0,941.1416403605486,2026-05-03 23:09:15
AUTO_v6_final,6,6.135000000000001,0.0,6.139166666666667,0.0,0.0,0.0,-20.0,941.1416403605486,2026-05-03 23:13:24
AUTO_v6_final,6,6.139166666666667,0.0,6.1325,0.0,-0.01,0.0,-20.0,941.1416403605486,2026-05-03 23:17:33
AUTO_v6_final,6,6.1325,0.0,6.118333333333333,3.0,-0.01,3.0,-20.0,941.1416403605486,2026-05-03 23:21:42
AUTO_v6_final,6,6.118333333333333,3.0,6.129166666666666,108.5,0.01,105.5,-20.0,941.1416403605486,2026-05-03 23:25:51
AUTO_v6_final,6,6.129166666666666,108.5,6.1175,248.16666666666666,-0.01,139.67,-20.0,941.1416403605486,2026-05-03 23:30:00
AUTO_v6_final,6,6.1175,248.16666666666666,6.125,365.1666666666667,0.01,117.0,-20.0,941.1416403605486,2026-05-03 23:34:09
AUTO_v6_final,6,6.125,365.1666666666667,6.113333333333333,461.25,-0.01,96.08,-20.0,941.1416403605486,2026-05-03 23:38:18
AUTO_v6_final,6,6.113333333333333,461.25,6.099166666666666,599.0,-0.01,137.75,-20.0,941.1416403605486,2026-05-03 23:42:27
AUTO_v6_final,6,6.099166666666666,599.0,6.0925,713.9166666666666,-0.01,114.92,-20.0,941.1416403605486,2026-05-03 23:46:37
AUTO_v6_final,6,6.0925,713.9166666666666,6.069999999999999,839.0,-0.02,125.08,-1.0,941.1416403605486,2026-05-03 23:53:41
AUTO_v6_final,5,6.069999999999999,839.0,6.07923076923077,865.6923076923077,0.01,26.69,-1.0,1087.9176874426405,2026-05-03 23:57:02
AUTO_v6_final,5,6.07923076923077,865.6923076923077,6.078333333333333,921.9166666666666,-0.0,56.22,-1.0,1087.9176874426405,2026-05-04 00:01:11
AUTO_v6_final,5,6.078333333333333,921.9166666666666,6.083076923076923,968.1538461538462,0.0,46.24,-1.0,1087.9176874426405,2026-05-04 00:06:24
AUTO_v6_final,5,6.083076923076923,968.1538461538462,6.088333333333334,991.25,0.01,23.1,-1.0,1087.9176874426405,2026-05-04 00:10:33
AUTO_v6_final,5,6.088333333333334,991.25,6.093076923076922,1041.6153846153845,0.0,50.37,-1.0,1087.9176874426405,2026-05-04 00:14:21
AUTO_v6_final,5,6.093076923076922,1041.6153846153845,6.0975,1064.6666666666667,0.0,23.05,-1.0,1087.9176874426405,2026-05-04 00:18:30
AUTO_v6_final,5,6.0975,1064.6666666666667,6.116666666666667,1119.9166666666667,0.02,55.25,100.0,1087.9176874426405,2026-05-04 00:22:39
AUTO_v6_final,0,6.116666666666667,1119.9166666666667,6.105833333333333,1119.75,-0.01,-0.17,100.0,1250.5167466236676,2026-05-04 00:23:43
AUTO_v6_final,0,6.105833333333333,1119.75,6.103333333333333,1120.9166666666667,-0.0,1.17,100.0,1250.5167466236676,2026-05-04 00:24:46
AUTO_v6_final,0,6.103333333333333,1120.9166666666667,6.106923076923077,1119.6153846153845,0.0,-1.3,100.0,1250.5167466236676,2026-05-04 00:26:53
AUTO_v6_final,0,6.106923076923077,1119.6153846153845,6.115833333333334,1116.75,0.01,-2.87,100.0,1250.5167466236676,2026-05-04 00:27:57
AUTO_v6_final,0,6.115833333333334,1116.75,6.123333333333334,1118.9166666666667,0.01,2.17,100.0,1250.5167466236676,2026-05-04 00:29:01
AUTO_v6_final,0,6.123333333333334,1118.9166666666667,6.1225,1114.4166666666667,-0.0,-4.5,100.0,1250.5167466236676,2026-05-04 00:30:04
AUTO_v6_final,0,6.1225,1114.4166666666667,6.1241666666666665,1118.0833333333333,0.0,3.67,100.0,1250.5167466236676,2026-05-04 00:31:08
AUTO_v6_final,0,6.1241666666666665,1118.0833333333333,6.1225,1119.1666666666667,-0.0,1.08,100.0,1250.5167466236676,2026-05-04 00:32:11
AUTO_v6_final,0,6.1225,1119.1666666666667,6.1275,1118.5,0.01,-0.67,100.0,1250.5167466236676,2026-05-04 00:33:15
AUTO_v6_final,0,6.1275,1118.5,6.120833333333334,1119.5833333333333,-0.01,1.08,100.0,1250.5167466236676,2026-05-04 00:34:19
AUTO_v6_final,0,6.120833333333334,1119.5833333333333,6.135833333333333,1116.3333333333333,0.01,-3.25,100.0,1250.5167466236676,2026-05-04 00:35:22
AUTO_v6_final,0,6.135833333333333,1116.3333333333333,6.1375,1117.75,0.0,1.42,100.0,1250.5167466236676,2026-05-04 00:36:26
AUTO_v6_final,0,6.1375,1117.75,6.140000000000001,1114.9166666666667,0.0,-2.83,100.0,1250.5167466236676,2026-05-04 00:37:29
AUTO_v6_final,0,6.140000000000001,1114.9166666666667,6.142499999999999,1116.1666666666667,0.0,1.25,100.0,1250.5167466236676,2026-05-04 00:38:33
AUTO_v6_final,0,6.142499999999999,1116.1666666666667,6.128333333333333,1117.0833333333333,-0.01,0.92,100.0,1250.5167466236676,2026-05-04 00:39:37
AUTO_v6_final,0,6.128333333333333,1117.0833333333333,6.135833333333333,1115.0833333333333,0.01,-2.0,100.0,1250.5167466236676,2026-05-04 00:40:40
AUTO_v6_final,0,6.135833333333333,1115.0833333333333,6.140000000000001,1113.6666666666667,0.0,-1.42,100.0,1250.5167466236676,2026-05-04 00:41:44
AUTO_v6_final,0,6.140000000000001,1113.6666666666667,6.148333333333333,1108.75,0.01,-4.92,100.0,1250.5167466236676,2026-05-04 00:42:47
AUTO_v6_final,0,6.148333333333333,1108.75,6.1433333333333335,1114.75,-0.0,6.0,100.0,1250.5167466236676,2026-05-04 00:43:51
AUTO_v6_final,0,6.1433333333333335,1114.75,6.140833333333333,1109.25,-0.0,-5.5,100.0,1250.5167466236676,2026-05-04 00:44:55
AUTO_v6_final,0,6.140833333333333,1109.25,6.1433333333333335,1111.5,0.0,2.25,100.0,1250.5167466236676,2026-05-04 00:45:58
AUTO_v6_final,0,6.1433333333333335,1111.5,6.146666666666667,1108.6666666666667,0.0,-2.83,100.0,1250.5167466236676,2026-05-04 00:47:02
AUTO_v6_final,0,6.146666666666667,1108.6666666666667,6.1691666666666665,1109.5,0.02,0.83,100.0,1250.5167466236676,2026-05-04 00:48:05
AUTO_v6_final,0,6.1691666666666665,1109.5,6.145,1109.1666666666667,-0.02,-0.33,100.0,1250.5167466236676,2026-05-04 00:49:09
AUTO_v6_final,0,6.145,1109.1666666666667,6.148333333333333,1110.0833333333333,0.0,0.92,100.0,1250.5167466236676,2026-05-04 00:50:13
AUTO_v6_final,0,6.148333333333333,1110.0833333333333,6.1499999999999995,1110.4166666666667,0.0,0.33,100.0,1250.5167466236676,2026-05-04 00:51:16
AUTO_v6_final,0,6.1499999999999995,1110.4166666666667,6.145833333333333,1112.8333333333333,-0.0,2.42,100.0,1250.5167466236676,2026-05-04 00:52:20
AUTO_v6_final,0,6.145833333333333,1112.8333333333333,6.156666666666666,1112.5833333333333,0.01,-0.25,100.0,1250.5167466236676,2026-05-04 00:53:23
AUTO_v6_final,0,6.156666666666666,1112.5833333333333,6.164166666666667,1110.75,0.01,-1.83,100.0,1250.5167466236676,2026-05-04 00:54:27
AUTO_v6_final,0,6.164166666666667,1110.75,6.165833333333333,1111.1666666666667,0.0,0.42,100.0,1250.5167466236676,2026-05-04 00:55:31
AUTO_v6_final,0,6.165833333333333,1111.1666666666667,6.159166666666667,1110.1666666666667,-0.01,-1.0,100.0,1250.5167466236676,2026-05-04 00:56:34
