timestamp,event_type,topic,detail
2026-05-03T22:59:58.577645,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.46,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777823998746}"
2026-05-03T23:00:03.999635,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.46,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824003186}"
2026-05-03T23:00:09.153589,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.45,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":232,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824008346}"
2026-05-03T23:00:14.444507,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.50,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824013646}"
2026-05-03T23:00:19.752921,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.47,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824018946}"
2026-05-03T23:00:25.044529,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.47,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":231,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824024246}"
2026-05-03T23:00:30.351158,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.49,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":429,""t3"":273,""t4"":313,""t5"":230,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824029546}"
2026-05-03T23:00:35.647081,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.44,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":232,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824034846}"
2026-05-03T23:00:40.963292,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.45,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":272,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824040147}"
2026-05-03T23:00:46.249463,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.42,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824045446}"
2026-05-03T23:00:51.572493,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.48,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":272,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824050746}"
2026-05-03T23:00:56.847536,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.45,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":430,""t3"":273,""t4"":313,""t5"":251,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824056046}"
2026-05-03T23:00:56.848536,SEND_ACTION,hidroponik/action,4:824056
2026-05-03T23:01:01.969626,RECV_STATUS,hidroponik/status,"{""status"":""DONE"",""tx"":""824056"",""ts"":1777824061406}"
2026-05-03T23:01:02.145621,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.40,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824061346}"
2026-05-03T23:01:07.651244,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.46,""ec"":0,""suhu"":25.75,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":250,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824067785}"
2026-05-03T23:01:12.750336,RECV_SENSOR,hidroponik/sensor,"{""ph"":6.34,""ec"":0,""suhu"":25.81,""t1"":552,""t2"":450,""t3"":273,""t4"":313,""t5"":226,""box"":16.22,""flow"":0.00,""total"":0.036,""timestamp"":1777824072946}"
