# IDLE	Up_S	Up_L	Dn_S	Dn_L	Nut_S	Nut_L	Air_S	Air_L
37.9530	69.0596	307.8290	81.4496	83.0170	54.6683	75.2638	30.0986	47.9216
187.1696	201.9729	467.4051	166.0850	140.9320	128.9131	40.2915	129.6746	184.9103
175.0580	140.9298	359.4003	114.5413	112.5851	76.9584	-25.4720	144.6061	156.3483
14.3540	12.8428	105.7275	0.7959	3.0265	-34.3861	-64.9530	131.7248	11.8309
-63.8609	-61.1682	-57.4030	-61.3145	-64.8127	-65.2811	-62.6829	-4.4071	-56.6206
414.8008	516.8789	739.6851	440.0274	328.4818	510.6917	465.8042	406.6144	415.8879
683.1509	697.1614	920.0460	565.1232	514.7576	582.0936	356.2187	579.2872	675.7309
685.3454	624.7640	813.7034	527.4387	466.9650	486.2858	137.3922	624.3255	647.0139
380.1515	262.4343	333.2961	258.6527	218.4655	156.1841	-9.0632	474.1956	369.7424
-50.7387	-43.4485	-64.7410	-46.2538	-56.4569	-48.2612	-50.6048	15.3130	-43.5175
684.7909	732.8695	658.9072	671.5403	665.3232	755.1182	941.1416	718.0966	694.9503
945.5828	1036.5281	975.6281	949.2258	854.7478	1087.9177	649.5137	910.9766	977.3017
1250.5167	931.6386	909.3515	908.6564	796.7553	838.0380	280.8612	960.5630	1131.0896
668.0761	403.1159	411.0154	453.3260	392.5391	322.7641	45.1317	748.8560	631.1700
-42.7195	-39.2980	-41.8848	-39.5470	-46.3920	-40.0826	-45.6453	56.7889	-32.8948
416.8955	444.9047	369.5130	471.5388	715.0866	483.6427	446.7420	418.7681	452.6392
604.2122	517.4168	475.1254	569.6164	878.3833	507.4452	329.2406	517.1548	562.4094
629.4835	446.3044	422.5752	625.8568	790.6937	446.6952	145.8901	541.6081	579.7010
327.6352	167.3022	174.2755	290.4236	349.6165	148.3286	8.3251	444.9673	315.2559
-38.5124	-36.0658	-44.0312	-31.0475	-51.4972	-39.6145	-38.1552	33.9945	-31.9397
57.3609	89.1215	81.5629	98.4212	386.4770	78.8075	102.0615	71.0829	64.3507
224.5147	174.3753	185.6725	205.9360	471.2017	163.4440	115.7919	168.6783	198.3277
179.8181	103.3487	121.6433	185.9252	357.4283	106.9292	-0.4103	140.2721	156.8522
15.7694	2.9216	-11.7103	44.2697	56.0808	-19.7445	-49.9686	140.7964	25.4322
-56.1684	-58.6220	-58.9360	-51.2104	-51.5023	-51.4083	-51.2437	32.7892	-57.4253
